"Transition","BayesFactor"
"ctc.to.env",244.624658467359
"ctc.to.cluster-e",7.64139661103308
"ctc.to.cluster-d",0.546522597635386
"ctc.to.cluster-c",0.165620548610968
"ctc.to.cluster-b",0.135859479387989
"ctc.to.cluster-a",0.674173213518274
"env.to.ctc",0.27695376970335
"env.to.cluster-e",374.572519828118
"env.to.cluster-d",0.254968098214156
"env.to.cluster-c",0.256256551852769
"env.to.cluster-b",0.238912927453126
"env.to.cluster-a",0.273061251342693
"cluster-e.to.ctc",1.24792952466373
"cluster-e.to.env",1.91682895031769
"cluster-e.to.cluster-d",Inf
"cluster-e.to.cluster-c",61.3181219162837
"cluster-e.to.cluster-b",Inf
"cluster-e.to.cluster-a",8.64895714678469
"cluster-d.to.ctc",207.643980432649
"cluster-d.to.env",1.10677311130567
"cluster-d.to.cluster-e",93.6435695466059
"cluster-d.to.cluster-c",68.1112455501475
"cluster-d.to.cluster-b",0.260770871579244
"cluster-d.to.cluster-a",27.4704073870464
"cluster-c.to.ctc",1.52151101649167
"cluster-c.to.env",0.687621218840413
"cluster-c.to.cluster-e",0.981473947190096
"cluster-c.to.cluster-d",0.696620382926776
"cluster-c.to.cluster-b",0.701130159114296
"cluster-c.to.cluster-a",3.12120259558276
"cluster-b.to.ctc",0.742026759570865
"cluster-b.to.env",0.709415797613934
"cluster-b.to.cluster-e",0.637133939877175
"cluster-b.to.cluster-d",0.640080101012639
"cluster-b.to.cluster-c",0.651894166711758
"cluster-b.to.cluster-a",0.735932720651218
"cluster-a.to.ctc",0.868145335309294
"cluster-a.to.env",0.557249039441707
"cluster-a.to.cluster-e",1.33602913911761
"cluster-a.to.cluster-d",0.532281899209871
"cluster-a.to.cluster-c",0.819258201982441
"cluster-a.to.cluster-b",0.641554282949019
