name,serotype,source,cluster,location
500_021_Ogawa_S41_2021,Ogawa,ctc,ctc,Karisimbi
12_021_Ogawa_S37_2021,Ogawa,ctc,ctc,Hospital Militaire 
85_021_Ogawa_S26_2021,Ogawa,ctc,ctc,Miti murhessa
75_021_Ogawa_S52_2021,Ogawa,ctc,ctc,Buhimba
168_021_Ogawa_S55_2021,Ogawa,ctc,ctc,Kasika
206_021_Ogawa_S43_2021,Ogawa,ctc,ctc,Sake
211_021_Ogawa_S42_2021,Ogawa,ctc,ctc,Kasika
223_021_Ogawa_S48_2021,Ogawa,ctc,ctc,Buhimba
397_019_Ogawa_S80_2021,Ogawa,ctc,ctc,Buhimba
383_019_Ogawa_S76_2021,Ogawa,ctc,ctc,Rutshuru
414_021_Ogawa_S39_2021,Ogawa,ctc,ctc,Idjwi
398_021_Ogawa_S61_2021,Ogawa,ctc,ctc,Uvira
405_021_Ogawa_S29_2021,Ogawa,ctc,ctc,Minova
5_021_Ogawa_S38_2021,Ogawa,ctc,ctc,Kiziba
10_021_Ogawa_S25_2021,Ogawa,ctc,ctc,Buhimba
626_021_Ogawa_S49_2021,Ogawa,ctc,ctc,Sake
645_021_Ogawa_S68_2021,Ogawa,ctc,ctc,Bakara
643_021_Ogawa_S31_2021,Ogawa,ctc,ctc,Minova
648_021_Ogawa_S50_2021,Ogawa,ctc,ctc,Bakara
627_021_Ogawa_S32_2021,Ogawa,ctc,ctc,Sake
628_021_Ogawa_S51_2021,Ogawa,ctc,ctc,Sake
664_021_Ogawa_S48_2021,Ogawa,ctc,ctc,Sake
665_021_Ogawa_S28_2021,Ogawa,ctc,ctc,Sake
669_021_Ogawa_S62_2021,Ogawa,ctc,ctc,Buhimba
671_021_Ogawa_S35_2021,Ogawa,ctc,ctc,Sake
737_021_Ogawa_S59_2021,Ogawa,ctc,ctc,Bakara
714_021_Ogawa_S27_2021,Ogawa,ctc,ctc,Idjwi
720_021_Ogawa_S57_2021,Ogawa,ctc,ctc,Kasika
761_021_Ogawa_S23_2021,Ogawa,ctc,ctc,Sake
787_021_Ogawa_S37_2021,Ogawa,ctc,ctc,Sake
788_021_Ogawa_S42_2021,Ogawa,ctc,ctc,Sake
856_021_Ogawa_S34_2021,Ogawa,ctc,ctc,Sake
891_021_Ogawa_S47_2021,Ogawa,ctc,ctc,Prison
621_021_Ogawa_S30_2021,Ogawa,ctc,ctc,Sake
906_021_Ogawa_S24_2021,Ogawa,ctc,ctc,Sake
961_021_Ogawa_S58_2021,Ogawa,ctc,ctc,Bakara
934_021_Ogawa_S63_2021,Ogawa,ctc,ctc,Hospital Militaire 
1013_021_Ogawa_S29_2021,Ogawa,ctc,ctc,Bakara
1021_021_Ogawa_S36_2021,Ogawa,ctc,ctc,Uvira
1028_021_Ogawa_S40_2021,Ogawa,ctc,ctc,Sake
1094_021_Ogawa_S56_2021,Ogawa,ctc,ctc,Bakara
1138_021_Ogawa_S60_2021,Ogawa,ctc,ctc,Kitika
1195_021_Ogawa_S38_2021,Ogawa,ctc,ctc,Idjwi
1262_021_Ogawa_S34_2021,Ogawa,ctc,ctc,Kitutu
1263_021_Ogawa_S32_2021,Ogawa,ctc,ctc,Kitutu
1256_021_Ogawa_S30_2021,Ogawa,ctc,ctc,Kitutu
1226_021_Ogawa_S54_2021,Ogawa,ctc,ctc,Kasika
1244_021_Ogawa_S40_2021,Ogawa,ctc,ctc,Kitutu
1329_021_Ogawa_S26_2021,Ogawa,ctc,ctc,Kitutu
1317_021_Ogawa_S39_2021,Ogawa,ctc,ctc,Uvira
1320_021_Ogawa_S36_2021,Ogawa,ctc,ctc,Kitutu
1330_021_Ogawa_S35_2021,Ogawa,ctc,ctc,Kitutu
1334_021_Ogawa_S33_2021,Ogawa,ctc,ctc,Kitutu
1344_021_Ogawa_S31_2021,Ogawa,ctc,ctc,Kiziba
1422_021_Ogawa_S44_2021,Ogawa,ctc,ctc,Nundu
1498_021_Ogawa_S41_2021,Ogawa,ctc,ctc,Bakara
1495_021_Ogawa_S45_2021,Ogawa,ctc,ctc,Bakara
1512_021_Inaba_S46_2021,Inaba,ctc,ctc,Uvira
1523_021_Ogawa_S27_2021,Ogawa,ctc,ctc,Kasika
1583_021_Ogawa_S28_2021,Ogawa,ctc,ctc,Bakara
1556_021_Ogawa_S46_2021,Ogawa,ctc,ctc,Bakara
GC_628_022_S23_Inaba_2022,Inaba,ctc,ctc,Kirotshe
GC_923_019_S22_Inaba_2022,Inaba,ctc,ctc,Kirotshe
GC_1154_022_S9_Inaba_2022,Inaba,ctc,ctc,Karisimbi
GC_1390_022_S24_Inaba_2022,Inaba,ctc,ctc,Buhimba
GC_2643_022_S20_Hikojima_2022,Hikojima,ctc,ctc,Kirotshe
GC_2735_022_S10_Hikojima_2022,Hikojima,ctc,ctc,Buhimba
140_S140_S3_Ogawa_2022,Ogawa,env,env,Bulengo
139_S139_S2_Ogawa_2022,Ogawa,env,env,Bulengo
144_S144_S4_Ogawa_2022,Ogawa,env,env,Bulengo
GC_3239_022_S4_Hikojima_2022,Hikojima,ctc,ctc,Katoyi
GC_3243_022_S16_Hikojima_2022,Hikojima,ctc,ctc,Buhimba
GC_3357_022_S17_Hikojima_2022,Hikojima,ctc,ctc,Fizi
16_S16_Hikojima_2022,Hikojima,campsite,cluster-e,Munigi
GE_1227_2_2_S3_Ogawa_2022,Ogawa,env,env,Bulengo
15_S15_Ogawa_2022,Ogawa,campsite,cluster-e,Kanyaruchinya
GC_3579_022_S8_Hikojima_2022,Hikojima,ctc,ctc,Buhimba
141_S141_Ogawa_2022,Ogawa,env,env,Bulengo
GE_1229_2_3_S6_Ogawa_2022,Ogawa,env,env,Lushagala
GE_3007_2_7_S2_Ogawa_2022,Ogawa,env,env,Lac vert
143_S143_Ogawa_2022,Ogawa,env,env,Lushagala
GC_3656_022_S13_Hikojima_2022,Hikojima,ctc,ctc,Kirotshe
GC_3661_022_S18_Hikojima_2022,Hikojima,ctc,ctc,Kirotshe
142_S142_Ogawa_2022,Ogawa,env,env,Lushagala
GE_1237_2_1_S14_Ogawa_2022,Ogawa,env,env,Bulengo
147_S147_Ogawa_2022,Ogawa,env,env,Kamuchanga
149_S149_Ogawa_2022,Ogawa,env,env,Bulengo
GE_1237_2_4_S1_Ogawa_2022,Ogawa,env,env,Bulengo
