# BEAST v10.5.0-beta5 Prerelease #1d511b10c2
# Generated Fri Jul 04 14:54:03 EDT 2025 [seed=5707]
# -overwrite -beagle_cuda -beagle_double -beagle_order 1 -seed 5707 -errors 1000 vc.drc.2025.onlycamps-rc-bs-400m.xml
state	serotype.rates.Hikojima.Inaba	serotype.rates.Hikojima.Ogawa	serotype.rates.Inaba.Ogawa	serotype.rates.Inaba.Hikojima	serotype.rates.Ogawa.Hikojima	serotype.rates.Ogawa.Inaba	serotype.indicators.Hikojima.Inaba	serotype.indicators.Hikojima.Ogawa	serotype.indicators.Inaba.Ogawa	serotype.indicators.Inaba.Hikojima	serotype.indicators.Ogawa.Hikojima	serotype.indicators.Ogawa.Inaba	serotype.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0
40000	0.44845347498616706	2.0790269522875646	1.9690114839484436	0.24719635761136666	0.5979332516604063	2.317377019261814	1.0	0.0	1.0	1.0	1.0	1.0	5.0
80000	0.06223329745653667	0.8336417071181109	1.2726992240199548	0.5463572644585863	0.32589678308391584	1.6221130543171327	0.0	0.0	1.0	1.0	1.0	1.0	4.0
120000	0.08638017587177838	0.3967621711523257	0.5542496773367478	0.605495964097584	0.802398767476871	2.85973142476763	1.0	0.0	1.0	1.0	1.0	1.0	5.0
160000	2.3326489732374136	0.3386227024252337	1.0614124577649893	0.36419583353466545	0.26203425832502825	1.1095413225641113	0.0	1.0	1.0	1.0	1.0	1.0	5.0
200000	1.6930400160773318	0.20638241884941502	2.161042747424156	0.342359920448148	0.6789760381946804	1.2032419722473133	0.0	1.0	1.0	1.0	1.0	1.0	5.0
240000	0.6168841161063967	0.13239351140427963	0.7347270609679751	0.4458105175003294	0.1617434164003623	0.6654269446664794	0.0	1.0	1.0	1.0	1.0	1.0	5.0
280000	0.13709805479727716	1.0534874006915391	2.3946367267365245	0.3490950317924917	1.091460358934249	2.5839404456239827	1.0	1.0	1.0	1.0	1.0	1.0	6.0
320000	0.056870839942541496	0.5250220575906117	0.2949398524498225	0.26143976570567057	0.3368412545126689	0.503998284924939	1.0	1.0	1.0	1.0	1.0	1.0	6.0
360000	0.8202994501519675	0.3611468555099492	0.9241724412520301	0.8074579436502384	0.49719314590253966	1.2783910114700388	0.0	1.0	1.0	1.0	1.0	1.0	5.0
400000	2.662143700510427	0.2567766169887203	0.9039512558708477	0.5409527660315471	0.6936705154033201	1.1747481438781333	0.0	1.0	1.0	1.0	1.0	1.0	5.0
440000	0.76088985460648	0.5469635967874842	1.5701291736579723	1.620668411944155	1.1541924150448721	1.2724329908566294	0.0	1.0	1.0	1.0	1.0	1.0	5.0
480000	1.4121799207948897	0.21540975994167402	3.1223172896379334	0.9334892616841984	2.493394150739901	2.2058968041994276	1.0	1.0	1.0	1.0	1.0	1.0	6.0
520000	0.06054876018020132	0.3809519366099634	0.8783636065958489	0.1829918528021106	0.6091545032289754	0.6794228099792247	1.0	1.0	1.0	1.0	1.0	1.0	6.0
560000	0.10973802107025839	0.24625244202256716	1.0078628549757667	0.26978895992853574	0.4127633816904713	0.9265832634492837	0.0	1.0	1.0	1.0	1.0	1.0	5.0
600000	0.611656477465919	0.47125831039839566	1.8258368076987193	0.11527381291976922	1.4954087366342703	2.1995627779515874	1.0	1.0	1.0	1.0	1.0	1.0	6.0
640000	1.35160743552869	0.8475295805663013	2.5881362448021132	0.6784507951024465	1.630293643612083	3.1739780529000874	0.0	1.0	1.0	1.0	1.0	1.0	5.0
680000	1.3504843000518756	0.13705469669692794	1.1385530305195093	0.8564263366031705	1.1060531825387228	1.0774207573882209	0.0	1.0	1.0	1.0	1.0	1.0	5.0
720000	1.8133791809726456	0.2504154086351983	2.331049522802218	1.0399989677616868	1.823021201189976	2.402841074993061	1.0	1.0	1.0	1.0	1.0	1.0	6.0
760000	0.3337299564929696	0.21586335602681145	0.568456565469605	0.38740632125197083	0.6906054133639816	0.7726942021753795	0.0	1.0	1.0	1.0	1.0	1.0	5.0
800000	0.4832756912286696	0.39554123018169385	1.6502729354867884	0.7588196053676078	1.626504710915246	1.6804421520767148	0.0	1.0	1.0	1.0	1.0	1.0	5.0
840000	0.6284857466999835	0.5193639539958602	1.3706867225106503	0.2017661240663794	0.47801351319072183	1.4828858892393557	1.0	1.0	1.0	1.0	1.0	1.0	6.0
880000	0.1399227578099967	0.5475207266573336	1.0269766334321477	0.46360577963128463	1.0830364777297656	1.6641656927526625	1.0	1.0	1.0	1.0	1.0	1.0	6.0
